n	partition(n)	runtime
1	1	2.958e-06
2	2	1.459e-06
3	3	1.25e-06
4	5	1.792e-06
5	7	1.542e-06
6	11	1.916e-06
7	15	1.833e-06
8	22	2.25e-06
9	30	2.125e-06
10	42	2.625e-06
11	56	2.75e-06
12	77	3.125e-06
13	101	3.25e-06
14	135	3.625e-06
15	176	3.875e-06
16	231	4.25e-06
17	297	4.625e-06
18	385	5.083e-06
19	490	5.375e-06
20	627	5.916e-06
21	792	6.25e-06
22	1002	6.917e-06
23	1255	7.042e-06
24	1575	7.625e-06
25	1958	8.084e-06
26	2436	8.625e-06
27	3010	9.125e-06
28	3718	9.834e-06
29	4565	1.0166e-05
30	5604	1.0875e-05
31	6842	1.1416e-05
32	8349	1.1958e-05
33	10143	1.2625e-05
34	12310	1.3125e-05
35	14883	1.3834e-05
36	17977	1.4416e-05
37	21637	1.525e-05
38	26015	1.6083e-05
39	31185	1.65e-05
40	37338	1.7292e-05
41	44583	1.8125e-05
42	53174	1.8791e-05
43	63261	1.9583e-05
44	75175	2.0417e-05
45	89134	2.1208e-05
46	105558	2.1958e-05
47	124754	2.2833e-05
48	147273	2.3875e-05
49	173525	2.4541e-05
50	204226	2.5542e-05
51	239943	2.6375e-05
52	281589	2.7417e-05
53	329931	2.8375e-05
54	386155	2.925e-05
55	451276	3.0291e-05
56	526823	3.1083e-05
57	614154	3.2125e-05
58	715220	3.3166e-05
59	831820	3.4083e-05
60	966467	3.5292e-05
61	1121505	3.6416e-05
62	1300156	3.75e-05
63	1505499	3.8417e-05
64	1741630	3.9833e-05
65	2012558	4.1e-05
66	2323520	4.2125e-05
67	2679689	4.3291e-05
68	3087735	4.4583e-05
69	3554345	4.5542e-05
70	4087968	4.6916e-05
71	4697205	4.8083e-05
72	5392783	4.9333e-05
73	6185689	5.0667e-05
74	7089500	5.1875e-05
75	8118264	5.3167e-05
76	9289091	5.4584e-05
77	10619863	5.5792e-05
78	12132164	5.7208e-05
79	13848650	5.8583e-05
80	15796476	6.0042e-05
81	18004327	5.7917e-05
82	20506255	4.9417e-05
83	23338469	5.0625e-05
84	26543660	5.1834e-05
85	30167357	5.2875e-05
86	34262962	5.4041e-05
87	38887673	5.5292e-05
88	44108109	5.6375e-05
89	49995925	5.7667e-05
90	56634173	5.8917e-05
91	64112359	6.0208e-05
92	72533807	6.1375e-05
93	82010177	6.2542e-05
94	92669720	6.3834e-05
95	104651419	6.5125e-05
96	118114304	6.6541e-05
97	133230930	6.7792e-05
98	150198136	6.9083e-05
99	169229875	7.0416e-05
100	190569292	7.175e-05
101	214481126	7.3042e-05
102	241265379	7.4584e-05
103	271248950	7.5875e-05
104	304801365	7.7333e-05
105	342325709	7.8791e-05
106	384276336	8.0166e-05
107	431149389	8.1667e-05
108	483502844	8.2833e-05
109	541946240	8.7167e-05
110	607163746	8.5833e-05
111	679903203	8.7208e-05
112	761002156	8.875e-05
113	851376628	9.0584e-05
114	952050665	9.2e-05
115	1064144451	9.3667e-05
116	1188908248	9.5333e-05
117	1327710076	9.95e-05
118	1482074143	9.8417e-05
119	1653668665	9.9833e-05
120	1844349560	0.000101417
121	2056148051	0.000102958
122	2291320912	0.000104583
123	2552338241	0.000106292
124	2841940500	0.000107875
125	3163127352	0.000116625
126	3519222692	0.000111458
127	3913864295	0.000112958
128	4351078600	0.000114958
129	4835271870	0.000135541
130	5371315400	0.000133042
131	5964539504	0.000119958
132	6620830889	0.000123042
133	7346629512	0.000126625
134	8149040695	0.000125292
135	9035836076	0.000127
136	10015581680	0.000128792
137	11097645016	0.000182416
138	12292341831	0.0001355
139	13610949895	0.000145292
140	15065878135	0.000136208
141	16670689208	0.000145542
142	18440293320	0.000140125
143	20390982757	0.000144791
144	22540654445	0.000143791
145	24908858009	0.000145584
146	27517052599	0.000147709
147	30388671978	0.000150458
148	33549419497	0.000151792
149	37027355200	0.000153458
150	40853235313	0.000158458
151	45060624582	0.0001575
152	49686288421	0.000159458
153	54770336324	0.000161542
154	60356673280	0.000163666
155	66493182097	0.00016575
156	73232243759	0.000170459
157	80630964769	0.000169791
158	88751778802	0.000171875
159	97662728555	0.000174083
160	107438159466	0.000176208
161	118159068427	0.000178209
162	129913904637	0.000180542
163	142798995930	0.000182791
164	156919475295	0.000185667
165	172389800255	0.000187958
166	189334822579	0.000189666
167	207890420102	0.000157875
168	228204732751	0.000161709
169	250438925115	0.000161583
170	274768617130	0.000163875
171	301384802048	0.000165792
172	330495499613	0.00016725
173	362326859895	0.000169875
174	397125074750	0.000170542
175	435157697830	0.000172875
176	476715857290	0.000174916
177	522115831195	0.000176666
178	571701605655	0.000178667
179	625846753120	0.000180042
180	684957390936	0.00018475
181	749474411781	0.00018625
182	819876908323	0.000186042
183	896684817527	0.000188041
184	980462880430	0.00019
185	1071823774337	0.000192458
186	1171432692373	0.000194292
187	1280011042268	0.000196458
188	1398341745571	0.000198375
189	1527273599625	0.000200625
190	1667727404093	0.000202166
191	1820701100652	0.000204625
192	1987276856363	0.000206709
193	2168627105469	0.000208541
194	2366022741845	0.000213584
195	2580840212973	0.000212958
196	2814570987591	0.000214917
197	3068829878530	0.000217042
198	3345365983698	0.000220041
199	3646072432125	0.00022225
200	3972999029388	0.000224208
201	4328363658647	0.000226125
202	4714566886083	0.000228583
203	5134205287973	0.000230417
204	5590088317495	0.000232834
205	6085253859260	0.000235417
206	6622987708040	0.000237125
207	7206841706490	0.000238958
208	7840656226137	0.000241208
209	8528581302375	0.000243625
210	9275102575355	0.000247792
211	10085065885767	0.0002495
212	10963707205259	0.000250916
213	11916681236278	0.000252834
214	12950095925895	0.000255417
215	14070545699287	0.000257208
216	15285151248481	0.00026225
217	16601598107914	0.00027375
218	18028182516671	0.000291167
219	19573856161145	0.000309042
220	21248279009367	0.000281708
221	23061871173849	0.00028175
222	25025873760111	0.000241
223	27152408925615	0.000239417
224	29454549941750	0.000238708
225	31946390696157	0.00024075
226	34643126322519	0.000243375
227	37561133582570	0.000244875
228	40718063627362	0.00025
229	44132934884255	0.000249166
230	47826239745920	0.000253958
231	51820051838712	0.000253333
232	56138148670947	0.000255667
233	60806135438329	0.000257708
234	65851585970275	0.000259792
235	71304185514919	0.000262083
236	77195892663512	0.000266958
237	83561103925871	0.000269083
238	90436839668817	0.000268667
239	97862933703585	0.00027075
240	105882246722733	0.000272875
241	114540884553038	0.000275125
242	123888443077259	0.000277333
243	133978259344888	0.00027975
244	144867692496445	0.000293416
245	156618412527946	0.000284417
246	169296722391554	0.000286583
247	182973889854026	0.000288667
248	197726516681672	0.000291
249	213636919820625	0.000293375
250	230793554364681	0.00029575
251	249291451168559	0.000298083
252	269232701252579	0.000300416
253	290726957916112	0.000302791
254	313891991306665	0.000308125
255	338854264248680	0.0003075
256	365749566870782	0.000309917
257	394723676655357	0.000312333
258	425933084409356	0.0002865
259	459545750448675	0.000287209
260	495741934760846	0.000277416
261	534715062908609	0.000279583
262	576672674947168	0.000281875
263	621837416509615	0.000286417
264	670448123060170	0.000285708
265	722760953690372	0.000287833
266	779050629562167	0.000289917
267	839611730366814	0.000291833
268	904760108316360	0.000294209
269	974834369944625	0.000296291
270	1050197489931117	0.000298583
271	1131238503938606	0.000303375
272	1218374349844333	0.000305625
273	1312051800816215	0.0003045
274	1412749565173450	0.000307083
275	1520980492851175	0.000309416
276	1637293969337171	0.000311583
277	1762278433057269	0.0003315
278	1896564103591584	0.000316
279	2040825852575075	0.000332916
280	2195786311682516	0.000320583
281	2362219145337711	0.000323375
282	2540952590045698	0.000327875
283	2732873183547535	0.000327417
284	2938929793929555	0.000329833
285	3160137867148997	0.000331917
286	3397584011986773	0.000334084
287	3652430836071053	0.000336375
288	3925922161489422	0.000338667
289	4219388528587095	0.000337875
290	4534253126900886	0.000303333
291	4872038056472084	0.0003055
292	5234371069753672	0.000307458
293	5622992691950605	0.000309625
294	6039763882095515	0.00031175
295	6486674127079088	0.000313792
296	6965850144195831	0.0003185
297	7479565078510584	0.0003185
298	8030248384943040	0.000331167
299	8620496275465025	0.000322125
300	9253082936723602	0.00032425
301	9930972392403501	0.000326375
302	10657331232548839	0.000329833
303	11435542077822104	0.000332708
304	12269218019229465	0.000335
305	13162217895057704	0.000336875
306	14118662665280005	0.000343417
307	15142952738857194	0.000346208
308	16239786535829663	0.000346792
309	17414180133147295	0.000347542
310	18671488299600364	0.000354584
311	20017426762576945	0.00035025
312	21458096037352891	0.000349958
313	23000006655487337	0.000352417
314	24650106150830490	0.000354791
315	26415807633566326	0.000357292
316	28305020340996003	0.000359
317	30326181989842964	0.000361375
318	32488293351466654	0.0003635
319	34800954869440830	0.00034075
320	37274405776748077	0.000330208
321	39919565526999991	0.000331708
322	42748078035954696	0.000336333
323	45772358543578028	0.00033575
324	49005643635237875	0.000337792
325	52462044228828641	0.000339708
326	56156602112874289	0.000368
327	60105349839666544	0.000357375
328	64325374609114550	0.000346375
329	68834885946073850	0.000348708
330	73653287861850339	0.000353084
331	78801255302666615	0.0003525
332	84300815636225119	0.000354583
333	90175434980549623	0.000356625
334	96450110192202760	0.000358542
335	103151466321735325	0.000360791
336	110307860425292772	0.000362917
337	117949491546113972	0.000365042
338	126108517833796355	0.000367125
339	134819180623301520	0.000369375
340	144117936527873832	0.0003715
341	154043597379576030	0.000365167
342	164637479165761044	0.000343667
343	175943559810422753	0.000345625
344	188008647052292980	0.000347542
345	200882556287683159	0.000349625
346	214618299743286299	0.000360333
347	229272286871217150	0.00035375
348	244904537455382406	0.000355792
349	261578907351144125	0.000357709
350	279363328483702152	0.000359792
351	298330063062758076	0.000361709
352	318555973788329084	0.000363792
353	340122810048577428	0.000365834
354	363117512048110005	0.000370208
355	387632532919029223	0.000370083
356	413766180933342362	0.000372167
357	441622981929358437	0.000374209
358	471314064268398780	0.00037625
359	502957566506000020	0.000383292
360	536679070310691121	0.000386292
361	572612058898037559	0.000382584
362	610898403751884101	0.00038475
363	651688879997206959	0.000367791
364	695143713458946040	0.000358167
365	741433159884081684	0.000359875
366	790738119649411319	0.000361666
367	843250788562528427	0.000363666
368	899175348396088349	0.000366125
369	958728697912338045	0.000367792
370	1022141228367345362	0.000391917
371	1089657644424399782	0.000387792
372	1161537834849962850	0.000386916
373	1238057794119125085	0.000375917
374	1319510599727473500	0.00037825
375	1406207446561484054	0.000409125
376	1498478743590581081	0.00038125
377	1596675274490756791	0.000383791
378	1701169427975813525	0.000385708
379	1812356499739472950	0.000387625
380	1930656072350465812	0.000389666
381	2056513475336633805	0.000391541
382	2190401332423765131	0.000393792
383	2332821198543892336	0.000396
384	2484305294265418180	0.000372083
385	2645418340688763701	0.000373875
386	2816759503217942792	0.00037575
387	2998964447736452194	0.000377916
388	3192707518433532826	0.000379792
389	3398704041358160275	0.000384417
390	3617712763867604423	0.000406542
391	3850538434667429186	0.000401833
392	4098034535626594791	0.000387667
393	4361106170762284114	0.000392041
394	4640713124699623515	0.0003915
395	4937873096788191655	0.0003935
396	5253665124416975163	0.000395167
397	5589233202595404488	0.000397416
398	5945790114707874597	0.00039925
399	6324621482504294325	0.000401417
400	6727090051741041926	0.00042
401	7154640222653942321	0.000419041
402	7608802843339879269	0.000407542
403	8091200276484465581	0.000410083
404	8603551759348655060	0.000411291
405	9147679068859117602	0.00041325
406	9725512513742021729	0.00041525
407	10339097267123947241	0.000440833
408	10990600063775926994	0.000389
409	11682316277192317780	0.000390834
410	12416677403151190382	0.000428375
411	13196258966925435702	0.000415542
412	14023788883518847344	0.000396667
413	14902156290309948968	0.000409791
414	15834420884488187770	0.000401209
415	16823822787139235544	0.000408334
416	17873792969689876004	0.000419041
