n	partition(n)	runtime(n)	memory(n)
1	1	0.0185220241546630859375	1504
2	2	1.9073486328125e-05	2936
3	3	9.059906005859375e-06	5800
4	5	1.40666961669921875e-05	10096
5	7	0.002230167388916015625	18104
6	11	3.60012054443359375e-05	31840
7	15	5.98430633544921875e-05	55016
8	22	0.0001008510589599609375	96224
9	30	0.00016307830810546875	166336
10	42	0.00028705596923828125	288528
11	56	0.0004971027374267578125	498864
12	77	0.0008380413055419921875	863424
13	101	0.0014209747314453125	1494696
14	135	0.0025069713592529296875	2585248
15	176	0.004330158233642578125	4473336
16	231	0.0083711147308349609375	7738152
17	297	0.065412044525146484375	13387248
18	385	0.0265700817108154296875	23159368
19	490	0.087832927703857421875	40063168
20	627	0.1455228328704833984375	69307664
21	792	0.203280925750732421875	119895176
22	1002	0.390576839447021484375	207410584
23	1255	0.7007648944854736328125	358803416
24	1575	1.224730014801025390625	620700656
