n	partition(n)	runtime(n)	memory(n)
1	1	0.022264003753662109375	3057424
2	2	1.40666961669921875e-05	3464
3	3	7.152557373046875e-06	4856
4	5	8.106231689453125e-06	6248
5	7	0.0023310184478759765625	12208
6	11	1.59740447998046875e-05	10648
7	15	1.50203704833984375e-05	12808
8	22	1.69277191162109375e-05	14968
9	30	2.002716064453125e-05	17128
10	42	2.78949737548828125e-05	20568
11	56	2.50339508056640625e-05	22728
12	77	2.69412994384765625e-05	25696
13	101	3.0994415283203125e-05	28664
14	135	3.40938568115234375e-05	31632
15	176	3.4809112548828125e-05	34560
16	231	4.100799560546875e-05	37488
17	297	4.38690185546875e-05	40416
18	385	4.79221343994140625e-05	43344
19	490	5.1021575927734375e-05	46272
20	627	5.0067901611328125e-05	49200
21	792	5.1975250244140625e-05	52128
22	1002	5.60283660888671875e-05	55864
23	1255	5.98430633544921875e-05	59600
24	1575	6.389617919921875e-05	63336
25	1958	9.2983245849609375e-05	67072
26	2436	7.3909759521484375e-05	70768
27	3010	7.79628753662109375e-05	74464
28	3718	7.79628753662109375e-05	78160
29	4565	8.0108642578125e-05	81856
30	5604	8.51154327392578125e-05	85552
31	6842	8.8214874267578125e-05	89248
32	8349	9.2029571533203125e-05	92944
33	10143	9.70363616943359375e-05	96640
34	12310	9.89437103271484375e-05	100336
35	14883	0.000102996826171875	104840
36	17977	0.0001151561737060546875	109344
37	21637	0.000113010406494140625	113848
38	26015	0.0001180171966552734375	118352
39	31185	0.0001218318939208984375	122856
40	37338	0.0001280307769775390625	127320
41	44583	0.0001308917999267578125	131784
42	53174	0.0001389980316162109375	141192
43	63261	0.0001409053802490234375	145656
44	75175	0.0001480579376220703125	150120
45	89134	0.000151157379150390625	154584
46	105558	0.0001571178436279296875	159048
47	124754	0.000157833099365234375	163512
48	147273	0.00016307830810546875	167976
49	173525	0.0001678466796875	172440
50	204226	0.000174045562744140625	176904
51	239943	0.0001780986785888671875	182176
52	281589	0.0001828670501708984375	187448
53	329931	0.000186920166015625	192720
54	386155	0.000195026397705078125	197992
55	451276	0.0002009868621826171875	203264
56	526823	0.00020313262939453125	208536
57	614154	0.0002079010009765625	213768
58	715220	0.000237941741943359375	219000
59	831820	0.000218868255615234375	224232
60	966467	0.000225067138671875	229464
61	1121505	0.00022792816162109375	234696
62	1300156	0.000235080718994140625	239928
63	1505499	0.000238895416259765625	245160
64	1741630	0.00024509429931640625	250392
65	2012558	0.0002520084381103515625	255624
66	2323520	0.0002539157867431640625	260856
67	2679689	0.0002610683441162109375	266088
