n	partition(n)	runtime(n)	memory(n)
1	1	0.000710010528564453125	232
2	2	1.69277191162109375e-05	696
3	3	1.9073486328125e-06	1368
4	5	5.0067901611328125e-06	2280
5	7	4.0531158447265625e-06	3400
6	11	5.0067901611328125e-06	4760
7	15	6.9141387939453125e-06	6328
8	22	1.0967254638671875e-05	8136
9	30	8.8214874267578125e-06	10152
10	42	1.40666961669921875e-05	12408
11	56	1.2874603271484375e-05	14872
12	77	1.78813934326171875e-05	17576
13	101	2.193450927734375e-05	20488
14	135	2.31266021728515625e-05	23640
15	176	2.50339508056640625e-05	27000
16	231	2.8133392333984375e-05	30600
17	297	3.21865081787109375e-05	34408
18	385	3.60012054443359375e-05	38456
19	490	4.00543212890625e-05	42712
20	627	4.79221343994140625e-05	47208
21	792	4.79221343994140625e-05	51912
22	1002	4.98294830322265625e-05	56856
23	1255	5.60283660888671875e-05	62008
24	1575	6.07967376708984375e-05	67400
25	1958	6.50882720947265625e-05	73000
26	2436	9.2029571533203125e-05	78840
27	3010	7.1048736572265625e-05	84888
28	3718	7.98702239990234375e-05	91176
29	4565	8.392333984375e-05	97672
30	5604	8.79764556884765625e-05	104408
31	6842	9.3936920166015625e-05	111352
32	8349	0.00010013580322265625	118552
33	10143	0.00010395050048828125	125944
34	12310	0.000111103057861328125	133560
35	14883	0.00012111663818359375	141400
36	17977	0.0001242160797119140625	149496
37	21637	0.000132083892822265625	157784
38	26015	0.000156879425048828125	166296
39	31185	0.0001389980316162109375	175032
40	37338	0.0001468658447265625	184024
41	44583	0.0001509189605712890625	193208
42	53174	0.0001590251922607421875	202616
43	63261	0.059363842010498046875	212248
44	75175	0.0001909732818603515625	222152
45	89134	0.000197887420654296875	232232
46	105558	0.0002009868621826171875	242536
47	124754	0.0002040863037109375	253064
48	147273	0.0002171993255615234375	263816
49	173525	0.0002219676971435546875	274792
50	204226	0.0002281665802001953125	286040
51	239943	0.0002319812774658203125	297464
52	281589	0.0002419948577880859375	309112
53	329931	0.0002510547637939453125	320984
54	386155	0.0002691745758056640625	333080
55	451276	0.0002720355987548828125	345400
56	526823	0.0002830028533935546875	357992
57	614154	0.0002968311309814453125	370760
58	715220	0.0003039836883544921875	383752
59	831820	0.0003421306610107421875	396968
60	966467	0.0003221035003662109375	410408
61	1121505	0.00032806396484375	424072
62	1300156	0.0003449916839599609375	437992
63	1505499	0.000356197357177734375	452104
64	1741630	0.0003659725189208984375	466440
65	2012558	0.000370025634765625	481000
66	2323520	0.000380039215087890625	495832
67	2679689	0.0003941059112548828125	510840
68	3087735	0.0004069805145263671875	526072
69	3554345	0.000431060791015625	541528
70	4087968	0.000442028045654296875	557208
71	4697205	0.0004518032073974609375	573112
72	5392783	0.000484943389892578125	589288
73	6185689	0.0005168914794921875	605640
74	7089500	0.0005171298980712890625	622216
75	8118264	0.00049304962158203125	639016
76	9289091	0.000504016876220703125	656040
77	10619863	0.00051784515380859375	673288
78	12132164	0.0005390644073486328125	690824
79	13848650	0.000547885894775390625	708520
80	15796476	0.00057506561279296875	726440
81	18004327	0.0005772113800048828125	744584
82	20506255	0.0006020069122314453125	762952
83	23338469	0.0006220340728759765625	781544
84	26543660	0.000627994537353515625	800360
85	30167357	0.0006530284881591796875	819400
86	34262962	0.0006580352783203125	838744
87	38887673	0.001533985137939453125	858232
88	44108109	0.0006840229034423828125	877944
89	49995925	0.0006949901580810546875	897880
90	56634173	0.000729084014892578125	918040
91	64112359	0.000749111175537109375	938424
92	72533807	0.00074100494384765625	959032
93	82010177	0.0007569789886474609375	979864
94	92669720	0.0007741451263427734375	1000920
95	104651419	0.0008008480072021484375	1022200
96	118114304	0.000834941864013671875	1043784
97	133230930	0.0008919239044189453125	1065512
98	150198136	0.000843048095703125	1087464
99	169229875	0.0008590221405029296875	1109640
100	190569292	0.0008800029754638671875	1132040
101	214481126	0.0008981227874755859375	1154664
