n	partition(n)	runtime
1	1	1.3542e-05
2	2	1.708e-06
3	3	1.541e-06
4	5	1.834e-06
5	7	1.833e-06
6	11	2.167e-06
7	15	2.166e-06
8	22	2.583e-06
9	30	2.709e-06
10	42	3.125e-06
11	56	3.208e-06
12	77	3.792e-06
13	101	3.917e-06
14	135	4.416e-06
15	176	4.583e-06
16	231	5.125e-06
17	297	5.416e-06
18	385	6e-06
19	490	6.25e-06
20	627	6.834e-06
21	792	7.417e-06
22	1002	8.125e-06
23	1255	8.333e-06
24	1575	8.959e-06
25	1958	9.5e-06
26	2436	1.0375e-05
27	3010	1.0833e-05
28	3718	1.1542e-05
29	4565	1.2334e-05
30	5604	1.3e-05
31	6842	1.3666e-05
32	8349	1.4583e-05
33	10143	1.5083e-05
34	12310	1.5541e-05
35	14883	1.6542e-05
36	17977	1.7167e-05
37	21637	1.8125e-05
38	26015	1.8792e-05
39	31185	1.9792e-05
40	37338	2.0625e-05
41	44583	2.1584e-05
42	53174	2.2625e-05
43	63261	2.3458e-05
44	75175	2.4333e-05
45	89134	2.55e-05
46	105558	2.6334e-05
47	124754	2.7542e-05
48	147273	2.875e-05
49	173525	2.95e-05
50	204226	3.075e-05
51	239943	3.1792e-05
52	281589	3.2875e-05
53	329931	3.4125e-05
54	386155	3.5292e-05
55	451276	3.6416e-05
56	526823	3.7625e-05
57	614154	3.875e-05
58	715220	4.0167e-05
59	831820	4.1417e-05
60	966467	4.2834e-05
61	1121505	4.4083e-05
62	1300156	4.4792e-05
63	1505499	3.6417e-05
64	1741630	3.7667e-05
65	2012558	3.875e-05
66	2323520	3.9875e-05
67	2679689	4.1e-05
68	3087735	4.2166e-05
69	3554345	4.3333e-05
70	4087968	4.4333e-05
71	4697205	5.7e-05
72	5392783	4.7208e-05
73	6185689	7.4e-05
74	7089500	4.9541e-05
75	8118264	5.1e-05
76	9289091	5.225e-05
77	10619863	5.3416e-05
78	12132164	5.4709e-05
79	13848650	5.6167e-05
80	15796476	5.7375e-05
81	18004327	5.8916e-05
82	20506255	6.0208e-05
83	23338469	6.15e-05
84	26543660	6.2917e-05
85	30167357	6.45e-05
86	34262962	6.5834e-05
87	38887673	6.7291e-05
88	44108109	6.8833e-05
89	49995925	7.0333e-05
90	56634173	7.2e-05
