n	partition(n)	runtime
1	1	2.583e-06
2	2	1.25e-06
3	3	1.208e-06
4	5	1.625e-06
5	7	1.5e-06
6	11	1.708e-06
7	15	1.75e-06
8	22	2.125e-06
9	30	2.125e-06
10	42	2.5e-06
11	56	2.5e-06
12	77	3e-06
13	101	3.042e-06
14	135	3.459e-06
15	176	3.667e-06
16	231	4e-06
17	297	4.209e-06
18	385	4.709e-06
19	490	4.917e-06
20	627	5.458e-06
21	792	5.75e-06
22	1002	6.25e-06
23	1255	6.542e-06
24	1575	7.083e-06
25	1958	7.375e-06
26	2436	8.042e-06
27	3010	8.375e-06
28	3718	9.083e-06
29	4565	9.459e-06
30	5604	9.917e-06
31	6842	1.0666e-05
32	8349	1.1167e-05
33	10143	1.1709e-05
34	12310	1.2125e-05
35	14883	1.275e-05
36	17977	1.3417e-05
37	21637	1.4125e-05
38	26015	1.4708e-05
39	31185	1.5417e-05
40	37338	1.6125e-05
41	44583	1.6958e-05
42	53174	1.7667e-05
43	63261	1.8167e-05
44	75175	1.9e-05
45	89134	1.9792e-05
46	105558	2.0625e-05
47	124754	2.1417e-05
48	147273	2.2208e-05
49	173525	2.3042e-05
50	204226	2.3958e-05
51	239943	2.475e-05
52	281589	2.5541e-05
53	329931	2.65e-05
54	386155	2.7458e-05
55	451276	2.8292e-05
56	526823	2.9333e-05
57	614154	3.025e-05
58	715220	4.6542e-05
59	831820	1.9417e-05
60	966467	1.2625e-05
61	1121505	1.2833e-05
62	1300156	1.3167e-05
63	1505499	1.35e-05
64	1741630	1.4e-05
65	2012558	1.4333e-05
66	2323520	1.475e-05
67	2679689	1.5166e-05
68	3087735	1.5583e-05
69	3554345	1.6e-05
70	4087968	1.6375e-05
71	4697205	1.6875e-05
72	5392783	1.7292e-05
73	6185689	1.7917e-05
74	7089500	1.8333e-05
75	8118264	1.8666e-05
76	9289091	1.9125e-05
77	10619863	1.9542e-05
78	12132164	2.0042e-05
79	13848650	2.0542e-05
80	15796476	2.1e-05
81	18004327	2.1625e-05
82	20506255	2.2041e-05
83	23338469	2.2542e-05
84	26543660	2.2959e-05
85	30167357	2.3584e-05
86	34262962	2.4041e-05
87	38887673	2.4625e-05
88	44108109	2.525e-05
89	49995925	2.5667e-05
90	56634173	2.6292e-05
91	64112359	2.6792e-05
92	72533807	2.725e-05
93	82010177	2.8e-05
94	92669720	2.8375e-05
95	104651419	2.9042e-05
96	118114304	2.9709e-05
97	133230930	3.025e-05
98	150198136	3.0958e-05
99	169229875	3.1416e-05
100	190569292	3.2125e-05
101	214481126	3.2583e-05
102	241265379	3.3333e-05
103	271248950	3.4041e-05
104	304801365	3.45e-05
105	342325709	3.5042e-05
106	384276336	3.575e-05
107	431149389	3.6375e-05
108	483502844	3.7083e-05
109	541946240	3.7583e-05
110	607163746	3.825e-05
111	679903203	3.9042e-05
112	761002156	3.9667e-05
113	851376628	4.025e-05
114	952050665	4.75e-05
115	1064144451	4.9875e-05
116	1188908248	4.2625e-05
117	1327710076	4.3167e-05
118	1482074143	4.3958e-05
119	1653668665	4.45e-05
120	1844349560	4.5334e-05
121	2056148051	4.6167e-05
122	2291320912	4.6666e-05
123	2552338241	4.7417e-05
124	2841940500	4.8208e-05
125	3163127352	4.8958e-05
126	3519222692	5.3709e-05
127	3913864295	5.0416e-05
128	4351078600	5.1292e-05
129	4835271870	5.1875e-05
130	5371315400	5.2791e-05
131	5964539504	5.3417e-05
132	6620830889	5.4167e-05
133	7346629512	5.5167e-05
134	8149040695	5.5875e-05
135	9035836076	5.6667e-05
136	10015581680	5.7459e-05
137	11097645016	5.8291e-05
138	12292341831	5.9125e-05
139	13610949895	5.9917e-05
140	15065878135	6.0833e-05
141	16670689208	6.1542e-05
142	18440293320	6.2417e-05
143	20390982757	6.3375e-05
144	22540654445	6.425e-05
145	24908858009	6.5041e-05
146	27517052599	6.5959e-05
147	30388671978	6.6792e-05
148	33549419497	6.7625e-05
149	37027355200	6.875e-05
150	40853235313	6.9541e-05
